epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,35063.6,1.56316,0.93876,0.00151,0.60917,0.50557,0.53127,0.33663,1.54899,1.14291,0.00239,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,35691.8,1.55563,0.93073,0.00152,0.6037,0.50872,0.53265,0.33681,1.54485,1.13248,0.00238,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,36394.6,1.54833,0.92668,0.00151,0.62157,0.49904,0.5355,0.33932,1.53973,1.133,0.00237,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,37017.7,1.54526,0.91973,0.00151,0.60635,0.50235,0.52994,0.33336,1.55126,1.14143,0.00239,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,37635.8,1.54672,0.91812,0.00151,0.60361,0.51082,0.53557,0.338,1.54815,1.13616,0.00238,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,38251.7,1.54574,0.91899,0.0015,0.61002,0.50843,0.53443,0.33645,1.54526,1.13302,0.00237,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,38870.7,1.55281,0.92172,0.00151,0.61605,0.50005,0.53145,0.33631,1.54415,1.13817,0.00237,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,39489.1,1.53665,0.9108,0.0015,0.60707,0.50808,0.53257,0.33637,1.54105,1.1384,0.00236,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,40109.6,1.53586,0.91149,0.00149,0.61495,0.51344,0.53672,0.33888,1.5482,1.14207,0.00238,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,40733.8,1.53484,0.90552,0.00149,0.60274,0.50905,0.53228,0.33599,1.54804,1.13775,0.00238,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
