epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,55035.8,1.21457,0.82753,0.96098,0.57586,0.48326,0.50446,0.31518,1.24757,0.89918,0.98001,0.00023275,0.00023275,0.00023275
157,55387.7,1.21151,0.82411,0.96058,0.5763,0.4824,0.50461,0.31519,1.24759,0.89908,0.97992,0.0002278,0.0002278,0.0002278
158,55739.5,1.21382,0.82799,0.96389,0.57715,0.48239,0.50449,0.31526,1.24761,0.89909,0.9799,0.00022285,0.00022285,0.00022285
159,56090.8,1.21088,0.81916,0.95929,0.57707,0.48192,0.5044,0.31504,1.24765,0.89879,0.9798,0.0002179,0.0002179,0.0002179
160,56443,1.21094,0.82446,0.9611,0.57783,0.48241,0.50462,0.31507,1.2477,0.89877,0.97981,0.00021295,0.00021295,0.00021295
161,56794.2,1.20786,0.82012,0.95915,0.57733,0.48158,0.50452,0.31493,1.24792,0.89862,0.97978,0.000208,0.000208,0.000208
162,57144.6,1.21148,0.82211,0.95804,0.57773,0.48183,0.5044,0.31483,1.24811,0.89851,0.97978,0.00020305,0.00020305,0.00020305
163,57495.7,1.20791,0.81578,0.95938,0.57813,0.48129,0.50426,0.3149,1.2483,0.89841,0.9798,0.0001981,0.0001981,0.0001981
164,57847,1.21,0.81823,0.95964,0.58006,0.48102,0.50446,0.31505,1.24838,0.89853,0.97984,0.00019315,0.00019315,0.00019315
165,58197.3,1.20908,0.81768,0.96007,0.58093,0.48073,0.50465,0.31507,1.24838,0.89847,0.97981,0.0001882,0.0001882,0.0001882
166,58549.4,1.20882,0.81499,0.95936,0.58318,0.47943,0.50462,0.31523,1.24843,0.89855,0.97974,0.00018325,0.00018325,0.00018325
167,58899.1,1.20637,0.81688,0.9584,0.58055,0.48026,0.50459,0.31511,1.24872,0.8987,0.97981,0.0001783,0.0001783,0.0001783
168,59249.8,1.20291,0.81239,0.9586,0.58094,0.48072,0.50486,0.3153,1.2486,0.89873,0.97979,0.00017335,0.00017335,0.00017335
169,59602.5,1.20198,0.81167,0.95745,0.57865,0.48139,0.5049,0.31538,1.2487,0.89875,0.97978,0.0001684,0.0001684,0.0001684
170,59954.3,1.20498,0.81297,0.95657,0.58122,0.48022,0.50494,0.3156,1.24879,0.89868,0.97976,0.00016345,0.00016345,0.00016345
171,60304.9,1.20634,0.81224,0.95951,0.58079,0.48075,0.50516,0.31561,1.24906,0.89878,0.97991,0.0001585,0.0001585,0.0001585
172,60655.3,1.19877,0.8081,0.95764,0.58013,0.4803,0.50468,0.3155,1.2493,0.8988,0.97995,0.00015355,0.00015355,0.00015355
173,61005.3,1.2063,0.81109,0.95794,0.58118,0.47995,0.50481,0.31557,1.24942,0.89889,0.97991,0.0001486,0.0001486,0.0001486
174,61355.6,1.20283,0.80934,0.95853,0.57964,0.4813,0.50473,0.31523,1.24944,0.89907,0.97987,0.00014365,0.00014365,0.00014365
175,61705.1,1.19844,0.80875,0.95795,0.5803,0.48037,0.50486,0.31504,1.24952,0.89907,0.97986,0.0001387,0.0001387,0.0001387
176,62055.8,1.20108,0.80735,0.95665,0.58118,0.481,0.50486,0.31516,1.24978,0.89932,0.97984,0.00013375,0.00013375,0.00013375
177,62407.8,1.19724,0.80619,0.95574,0.58258,0.48075,0.50454,0.31514,1.24993,0.8994,0.97978,0.0001288,0.0001288,0.0001288
178,62757.9,1.19967,0.80509,0.95569,0.58188,0.48137,0.50463,0.31533,1.2499,0.89939,0.97976,0.00012385,0.00012385,0.00012385
